rule_name,link_number,link,rulebook_page,rule_description
Frenzy,373,https://tow.whfb.app/special-rules/frenzy,"Rulebook, p. 170","For warriors gripped by a fighting frenzy, all rational thought is consumed by a hunger for violence.For warriors gripped by a fighting frenzy, all rational thought is consumed by a hunger for violence."
Furious Charge,374,https://tow.whfb.app/special-rules/furious-charge,"Rulebook, p. 171","Some creatures charge with such fury, the very ground shakes beneath their feet.Some creatures charge with such fury, the very ground shakes beneath their feet."
Hatred (X),375,https://tow.whfb.app/special-rules/hatred,"Rulebook, p. 171","Enmity is rife in the Warhammer world, but hatred is nurtured over thousands of years.Enmity is rife in the Warhammer world, but hatred is nurtured over thousands of years."
Horde,376,https://tow.whfb.app/special-rules/horde,"Rulebook, p. 171","Some troops find strength in numbers, gathering in deep formations that crowd together tightly.Some troops find strength in numbers, gathering in deep formations that crowd together tightly."
Howdah,377,https://tow.whfb.app/special-rules/howdah,"Rulebook, p. 171","A howdah is an armoured platform built atop a mighty behemoth. From here, a crew of warriors rain missiles upon the enemy.A howdah is an armoured platform built atop a mighty behemoth. From here, a crew of warriors rain missiles upon the enemy."
Ignores Cover,378,https://tow.whfb.app/special-rules/ignores-cover,"Rulebook, p. 171",Even dense cover offers no safe haven from a skilled marksman wielding a wellcrafted weapon.Even dense cover offers no safe haven from a skilled marksman wielding a wellcrafted weapon.
Immune to Psychology,379,https://tow.whfb.app/special-rules/immune-to-psychology,"Rulebook, p. 171","There are warriors so brave, or perhaps so jaded by the dangers of the world, that they heed no peril.There are warriors so brave, or perhaps so jaded by the dangers of the world, that they heed no peril."
Impact Hits (X),380,https://tow.whfb.app/special-rules/impact-hits,"Rulebook, p. 172",The impact of a charge can itself cause severe casualties amongst the foe.The impact of a charge can itself cause severe casualties amongst the foe.
Impetuous,381,https://tow.whfb.app/special-rules/impetuous,"Rulebook, p. 172",The eagerness of brash and brave warriors can lead them into foolish charges.The eagerness of brash and brave warriors can lead them into foolish charges.
Killing Blow,382,https://tow.whfb.app/special-rules/killing-blow,"Rulebook, p. 172",The most skilled of warriors can slay their enemies with a single deadly blow.The most skilled of warriors can slay their enemies with a single deadly blow.
Large Target,383,https://tow.whfb.app/special-rules/large-target,"Rulebook, p. 172","Monstrous creatures tower above the battlefield, visible to all for leagues around.Monstrous creatures tower above the battlefield, visible to all for leagues around."
Levies,384,https://tow.whfb.app/special-rules/levies,"Rulebook, p. 172","Many regiments are made up of unwilling fighters, pressed into service.Many regiments are made up of unwilling fighters, pressed into service."
Loner,385,https://tow.whfb.app/special-rules/loner,"Rulebook, p. 172","Some warriors do not mix well with others, preferring to keep their distance.Some warriors do not mix well with others, preferring to keep their distance."
Magical Attacks,386,https://tow.whfb.app/special-rules/magical-attacks,"Rulebook, p. 172","The Warhammer world is a deeply magical place. Consequently, magical weapons are quite commonplace.The Warhammer world is a deeply magical place. Consequently, magical weapons are quite commonplace."
Magic Resistance (-X),387,https://tow.whfb.app/special-rules/magic-resistance,"Rulebook, p. 173","Some creatures are naturally resistant to magic, whilst others bear charms or fetishes intended to ward off its effects.Some creatures are naturally resistant to magic, whilst others bear charms or fetishes intended to ward off its effects."
Mercenaries,388,https://tow.whfb.app/special-rules/mercenaries,"Rulebook, p. 173","Mercenary bands roam the Warhammer world, looking for employment in the armies of foreign lands.Mercenary bands roam the Warhammer world, looking for employment in the armies of foreign lands."
Monster Handlers,389,https://tow.whfb.app/special-rules/monster-handlers,"Rulebook, p. 173",Colossal beasts are goaded into battle by beastmasters hurrying at their heels.Colossal beasts are goaded into battle by beastmasters hurrying at their heels.
Monster Slayer,390,https://tow.whfb.app/special-rules/monster-slayer,"Rulebook, p. 173",Legends tell of warriors so mighty they can slay terrible monsters with but a single blow!Legends tell of warriors so mighty they can slay terrible monsters with but a single blow!
Motley Crew,391,https://tow.whfb.app/special-rules/motley-crew,"Rulebook, p. 174",Some regiments contain an assortment of differently armed and armoured warriors.Some regiments contain an assortment of differently armed and armoured warriors.
Move & Shoot,392,https://tow.whfb.app/special-rules/move-and-shoot,"Rulebook, p. 174","Weapons that are easy to use when moving at speed may lack power or range, but make up for it with their versatility.Weapons that are easy to use when moving at speed may lack power or range, but make up for it with their versatility."
Move or Shoot,393,https://tow.whfb.app/special-rules/move-or-shoot,"Rulebook, p. 174","Artillery weapons sacrifice a speedy reload and manoeuvrability for range and power, making them impossible to fire on the move.Artillery weapons sacrifice a speedy reload and manoeuvrability for range and power, making them impossible to fire on the move."
Move Through Cover,394,https://tow.whfb.app/special-rules/move-through-cover,"Rulebook, p. 174",A well-trained or naturally skilled warrior can traverse unhindered through the densest terrain.A well-trained or naturally skilled warrior can traverse unhindered through the densest terrain.
Multiple Shots (X),395,https://tow.whfb.app/special-rules/multiple-shots,"Rulebook, p. 174","Some weapons fire a fusillade of shots, sacrificing accuracy for sheer volume.Some weapons fire a fusillade of shots, sacrificing accuracy for sheer volume."
Multiple Wounds (X),396,https://tow.whfb.app/special-rules/multiple-wounds,"Rulebook, p. 175","The most powerful attacks strike with crushing force, causing massive damage to their victim.The most powerful attacks strike with crushing force, causing massive damage to their victim."
Open Order,397,https://tow.whfb.app/special-rules/open-order,"Rulebook, p. 175","Many regiments adopt an open formation, increasing their manoeuvrability.Many regiments adopt an open formation, increasing their manoeuvrability."
Poisoned Attacks,398,https://tow.whfb.app/special-rules/poisoned-attacks,"Rulebook, p. 175",Deadly toxins can turn an otherwise minor injury into a mortal wound.Deadly toxins can turn an otherwise minor injury into a mortal wound.
Ponderous,399,https://tow.whfb.app/special-rules/ponderous,"Rulebook, p. 175",Many weapons are too unwieldy to be used with any accuracy by a warrior on the move.Many weapons are too unwieldy to be used with any accuracy by a warrior on the move.
Quick Shot,400,https://tow.whfb.app/special-rules/quick-shot,"Rulebook, p. 175",Weapons designed for speed can be brought to bear in less than a heartbeat.Weapons designed for speed can be brought to bear in less than a heartbeat.
Rallying Cry,401,https://tow.whfb.app/special-rules/rallying-cry,"Rulebook, p. 175","Striking a heroic pose, a bold leader treats their loyal followers to a short but inspiring speech.Striking a heroic pose, a bold leader treats their loyal followers to a short but inspiring speech."
Random Attacks,402,https://tow.whfb.app/special-rules/random-attacks,"Rulebook, p. 176",Not all creatures fight with discipline; many flail about in careless abandon with unpredictable results.Not all creatures fight with discipline; many flail about in careless abandon with unpredictable results.
Random Movement,403,https://tow.whfb.app/special-rules/random-movement,"Rulebook, p. 176","Some creatures rush forward at one moment, only to falter clumsily in the next.Some creatures rush forward at one moment, only to falter clumsily in the next."
Regeneration (X+),404,https://tow.whfb.app/special-rules/regeneration,"Rulebook, p. 176","Foul and unnatural creatures, such as Trolls, Daemons and the Undead, can regenerate all but the most grievous of wounds with ease.Foul and unnatural creatures, such as Trolls, Daemons and the Undead, can regenerate all but the most grievous of wounds with ease."
Regimental Unit,405,https://tow.whfb.app/special-rules/regimental-unit,"Rulebook, p. 176","Sometimes, large units are supported in battle by smaller detachments.Sometimes, large units are supported in battle by smaller detachments."
Requires Two Hands,406,https://tow.whfb.app/special-rules/requires-two-hands,"Rulebook, p. 176","Many weapons are unwieldy, requiring a firm two-handed grip in order to use effectively.Many weapons are unwieldy, requiring a firm two-handed grip in order to use effectively."
Reserve Move,407,https://tow.whfb.app/special-rules/reserve-move,"Rulebook, p. 177","Warriors that excel at hit and run warfare advance quickly, unleashing a deadly volley before withdrawing.Warriors that excel at hit and run warfare advance quickly, unleashing a deadly volley before withdrawing."
Scouts,408,https://tow.whfb.app/special-rules/scouts,"Rulebook, p. 177",Scouts are advance troops who sneak onto the battlefield in order to seize vital locations before the two armies clash.Scouts are advance troops who sneak onto the battlefield in order to seize vital locations before the two armies clash.
Shieldwall,409,https://tow.whfb.app/special-rules/shieldwall,"Rulebook, p. 177","Presenting an impenetrable wall of shields to the foe, a regiment becomes almost unmovable.Presenting an impenetrable wall of shields to the foe, a regiment becomes almost unmovable."
Skirmishers,410,https://tow.whfb.app/special-rules/skirmishers,"Rulebook, p. 177","Units of skirmishers move quickly and freely, harassing the enemy's flanks.Units of skirmishers move quickly and freely, harassing the enemy's flanks."
Stomp Attacks (X),411,https://tow.whfb.app/special-rules/stomp-attacks,"Rulebook, p. 177",Some creatures are so massive that their sheer bulk is a threat all of its own.Some creatures are so massive that their sheer bulk is a threat all of its own.
Strike First,412,https://tow.whfb.app/special-rules/strike-first,"Rulebook, p. 177","Some warriors are gifted with supernatural speed and reactions, whilst others bear weapons enchanted to move like quicksilver through the air.Some warriors are gifted with supernatural speed and reactions, whilst others bear weapons enchanted to move like quicksilver through the air."
Strike Last,413,https://tow.whfb.app/special-rules/strike-last,"Rulebook, p. 178","Some warriors are incredibly slow and ponderous by nature, whilst others may be encumbered by massive weapons that slow them down.Some warriors are incredibly slow and ponderous by nature, whilst others may be encumbered by massive weapons that slow them down."
Stubborn,414,https://tow.whfb.app/special-rules/stubborn,"Rulebook, p. 178","Elite troops will often fight on, refusing to flee from the enemy, regardless of casualties.Elite troops will often fight on, refusing to flee from the enemy, regardless of casualties."
Stupidity,415,https://tow.whfb.app/special-rules/stupidity,"Rulebook, p. 178",Dull-witted creatures can often become hopelessly confused by the tumult of battle.Dull-witted creatures can often become hopelessly confused by the tumult of battle.
Swiftstride,416,https://tow.whfb.app/special-rules/swiftstride,"Rulebook, p. 178","Mounted warriors, warbeasts and chariots, amongst others, are swift and deadly, crossing the battlefields of the Old World with unexpected speed.Mounted warriors, warbeasts and chariots, amongst others, are swift and deadly, crossing the battlefields of the Old World with unexpected speed."
Terror,417,https://tow.whfb.app/special-rules/terror,"Rulebook, p. 179",There are creatures so fierce that their mere appearance can cause the bravest to flee.There are creatures so fierce that their mere appearance can cause the bravest to flee.
Timmm-berrr!,418,https://tow.whfb.app/special-rules/timmm-berrr,"Rulebook, p. 179","When a behemoth falls in battle, it can cause utter devastation.When a behemoth falls in battle, it can cause utter devastation."
Unbreakable,419,https://tow.whfb.app/special-rules/unbreakable,"Rulebook, p. 179",Some warriors are so fearless that they will never run from the enemy.Some warriors are so fearless that they will never run from the enemy.
Unstable,420,https://tow.whfb.app/special-rules/unstable,"Rulebook, p. 180","Many evil creatures are not truly alive, but are driven instead by magic. Should the tide of battle turn, this magic can quickly fail.Many evil creatures are not truly alive, but are driven instead by magic. Should the tide of battle turn, this magic can quickly fail."
Vanguard,421,https://tow.whfb.app/special-rules/vanguard,"Rulebook, p. 180",An army's vanguard advances to occupy and engage the foe ahead of their comrades.An army's vanguard advances to occupy and engage the foe ahead of their comrades.
Veteran,422,https://tow.whfb.app/special-rules/veteran,"Rulebook, p. 180","Veteran warriors have seen and done it all, and it takes a lot to unsettle them.Veteran warriors have seen and done it all, and it takes a lot to unsettle them."
Volley Fire,423,https://tow.whfb.app/special-rules/volley-fire,"Rulebook, p. 180",Bows and other weapons can loose their projectiles in a high-arcing volley. Even warriors who cannot see the foe can shoot in their general direction.Bows and other weapons can loose their projectiles in a high-arcing volley. Even warriors who cannot see the foe can shoot in their general direction.
Warband,424,https://tow.whfb.app/special-rules/warband,"Rulebook, p. 180","A warband is an unruly mob, keen for the fray but easily dismayed when things go poorly.A warband is an unruly mob, keen for the fray but easily dismayed when things go poorly."
Warp-spawned,425,https://tow.whfb.app/special-rules/warp-spawned,"Rulebook, p. 180","Creatures of the supernatural feed upon magic to manifest as physical beings and, as such, are vulnerable to magical attacks.Creatures of the supernatural feed upon magic to manifest as physical beings and, as such, are vulnerable to magical attacks."
Unusual Formations,426,https://tow.whfb.app/unusual-formations,"Rulebook, p. 182","As mentioned previously, the models that make up a Warhammer army must be formed into 'units' before battle commences and all units must adopt a formation. The core rules cover in detail Close Order formations, which are by far the most commonly seen – but by no means the only – type of formation.The following sections introduce the rules for Open Order and Skirmish formations. These are the two most frequently seen unusual formations, and every army will have the option to include units that can adopt them. A wise general will make full use of such units to exploit terrain, to harass the enemy from unexpected quarters and to protect their own vulnerable flanks."
Adopting & Changing Formation,427,https://tow.whfb.app/unusual-formations/adopting-and-changing-formation,"Rulebook, p. 182","All units must adopt a formation. As mentioned previously, the type(s) of formation a unit can adopt are indicated by a special rule of the same name as the formation type. Models with more than one such special rule may choose their formation during deployment, and may change it and adopt a different formation by reforming during the game."
Open Order Formation,428,https://tow.whfb.app/unusual-formations/open-order-formation,"Rulebook, p. 182","A unit arrayed in an Open Order formation closely resembles one in a Close Order formation; the key differences lie in how the unit moves and interacts with terrain. As with a unit in Close Order, a unit in Open Order consists of two or more models that are arranged in base contact with each other, edge-to-edge and front corner to front corner, as shown in Fig 182.1.All models in such a unit must face the same direction. In addition, all models in the unit must be arranged in a formation that consists of one or more horizontal rows, called ranks, and a number of vertical rows, called files.As far as possible, there must be the same number of models in each rank. Where this is not possible, it must be the rear rank that has fewer models.Fig 182.1"
Highly Manoeuvrable,429,https://tow.whfb.app/unusual-formations/highly-manoeuvrable,"Rulebook, p. 183","Open Order units tend to adopt a looser formation. Where the warriors within a Close Order formation will fight shoulder to shoulder, protecting one another with shield and spear, warriors in an Open Order formation fight in a more individual manner, striking and parrying with sword and buckler, or swinging great, double-handed weapons. Whatever the case, Open Order units are far more manoeuvrable than Close Order units.To represent this, units arrayed in an Open Order formation have the following abilities:Quick TurnDispersed Ranks"
Quick Turn,430,https://tow.whfb.app/unusual-formations/quick-turn,"Rulebook, p. 183","After moving, unless it charged, marched or fled, a unit that is in Open Order formation may pivot about its centre to change its facing by up to 90°."
Dispersed Ranks,431,https://tow.whfb.app/unusual-formations/dispersed-ranks,"Rulebook, p. 183",Units in Open Order formation do not become Disrupted by difficult or dangerous terrain.
Unit Shape (Open Order),432,https://tow.whfb.app/unusual-formations/unit-shape-open-order,"Rulebook, p. 183","As with units in Close Order formation, the shape of a unit in Open Order is also important as such units gain bonuses in certain situations. Based upon this, such units can be said to be in Combat Order or in Marching Column."
Combat Order (Open Order),433,https://tow.whfb.app/unusual-formations/combat-order-open-order,"Rulebook, p. 183","An Open Order formation that is wider than it is deep (i.e., that has more models per rank than per file) or that is square (i.e., has the same number of models per file as per rank) is said to be in Combat Order. Such units are able to count a Rank Bonus in certain situations:Rank BonusIf a unit in Open Order formation is wide enough, it can claim a Rank Bonus of +1 for each rank behind the first, up to the maximum determined by its troop type:How many models a rank must contain to claim a Rank Bonus, as well as the maximum Rank Bonus a unit can claim, is determined by its troop type.Certain special rules may increase the Rank Bonus a unit can claim beyond the maximum normally allowed by its troop type.Note that, as normal, this bonus can be claimed for an incomplete rear rank, as long as there are sufficient models in it."
Marching Column (Unusual Formations),434,https://tow.whfb.app/unusual-formations/marching-column-unusual-formations,"Rulebook, p. 183","A unit that is deeper than it is wide (i.e., that has more models per file than per rank) is said to be in Marching Column. A Marching Column cannot claim a Rank Bonus and cannot make a charge move, but may triple its Movement characteristic when Marching."
Skirmish Formation,435,https://tow.whfb.app/unusual-formations/skirmish-formation,"Rulebook, p. 184","A unit of models in Skirmish formation (often referred to as 'Skirmishers' in the rules that follow) never consists of rigid ranks and files. Instead, it moves as a single loose group or rough line. This enables Skirmishers to move quickly and take advantage of terrain to shelter from the enemy."
"1"" Apart (Skirmishers)",436,https://tow.whfb.app/unusual-formations/1-apart-skirmishers,"Rulebook, p. 184","The models that make up a unit in Skirmish formation are not placed in base contact with one another. Instead, they are deployed on the battlefield in a single loose but contiguous group, in which every model is within 1"" of another model belonging to the same unit, as shown in Fig 184.1.Fig 184.1 - A unit of Skirmishers. Note that whilst there is more than 1"" between some of the models, each model is within 1"" of at least one other model in the unit."
Coherency,437,https://tow.whfb.app/unusual-formations/coherency,"Rulebook, p. 184","A unit of Skirmishers must end its movement as a coherent unit, as described. When removing casualties from a unit of Skirmishers, you cannot remove a model if doing so would cause the unit to lose its coherency – you must instead remove a different model.Should it ever occur that a unit of Skirmishers has lost its coherency, you must remove models from play as casualties until only a single, coherent group remains. In such cases, the models removed are assumed to have fled the battle in a most cowardly fashion."
Facing & Line of Sight (Skirmishers),438,https://tow.whfb.app/unusual-formations/facing-and-line-of-sight-skirmishers,"Rulebook, p. 184","Unlike models in tightly ranked units, Skirmishers can see more of the battlefield around them. To represent this, whilst in Skirmish formation, models do not have flank or rear arcs. Instead, every arc is considered to be their front arc, giving Skirmishers a 360° vision arc. Therefore, units in Skirmish formation can declare charges and shoot in any direction – they are not limited by the constraints of a 90° front arc or vision arc.Other units can see through units in Skirmish formation if a line of sight can be drawn between the individual models. The individual models block line of sight as normal."
Movement & Manoeuvre (Skirmishers),439,https://tow.whfb.app/unusual-formations/movement-and-manoeuvre-skirmishers,"Rulebook, p. 185","Each model within a unit of Skirmishers moves as an individual. The unit does not turn, wheel or otherwise manoeuvre (although it may reform to adopt a different formation, if possible). Instead, each model is free to move in any direction without penalty, provided unit coherency is maintained."
Moving Through Skirmishers,440,https://tow.whfb.app/unusual-formations/moving-through-skirmishers,"Rulebook, p. 185","Other units cannot move through the gaps between models within a unit of Skirmishers, though Skirmishers can be fled through just like any other unit."
Skirmishers as Reinforcements,441,https://tow.whfb.app/unusual-formations/skirmishers-as-reinforcements,"Rulebook, p. 185","If a unit of Skirmishers enters the battle as reinforcements, it is placed so that each model is within 1"" of the battlefield edge."
Skirmishers & Shooting,442,https://tow.whfb.app/unusual-formations/skirmishers-and-shooting,"Rulebook, p. 185","As mentioned previously, Skirmishers can shoot in any direction. However, individual models within a unit of Skirmishers do still block line of sight as normal, which includes the line of sight of other models within the same unit."
Enemy Fire (Skirmishers),443,https://tow.whfb.app/unusual-formations/enemy-fire-skirmishers,"Rulebook, p. 185","Due to their comparatively small size and ability to make use of all available cover, enemy units shooting at a unit of Skirmishers that consists entirely of models with a Unit Strength of 1 suffer a -1 To Hit modifier."
Skirmishers & Panic,444,https://tow.whfb.app/unusual-formations/skirmishers-and-panic,"Rulebook, p. 185","Skirmishers cause panic in friendly units as normal should they be annihilated or Break and flee. Skirmishers cause panic in friendly Skirmishers if they flee through them as normal. However, Skirmishers do not cause panic in formed friendly units of any type (be they Close Order, Open Order and so on) that they themselves flee through."
Skirmishers in Combat,445,https://tow.whfb.app/unusual-formations/skirmishers-in-combat,"Rulebook, p. 185","When engaged in combat, Skirmishers do not remain in their usual, dispersed formation. Instead, they will 'form up' into base contact with one another, edge-to-edge and front corner to front corner, against the enemy in order to create a fighting rank. Skirmishers that charge the enemy, or that are themselves charged by the enemy, must always form up in this way once contact is made. Any Skirmishers that cannot make base contact with the enemy cannot form part of the fighting rank and must instead form up into ranks behind the fighting rank.Skirmishers will maintain this close formation until the combat is over (i.e., until they are not engaged with any enemy at the end of a Combat phase), at which point they will once again adopt Skirmish formation."
Skirmishers & Rank Bonus,446,https://tow.whfb.app/unusual-formations/skirmishers-and-rank-bonus,"Rulebook, p. 185","Despite forming up when engaged in combat, a unit that is in Skirmish formation when it becomes engaged in combat cannot claim a Rank Bonus."
Skirmishers & Disruption,447,https://tow.whfb.app/unusual-formations/skirmishers-and-disruption,"Rulebook, p. 185",Enemy units do not become Disrupted when engaged in their flank or rear by a unit that is in Skirmish formation.
Characters Joining Skirmishers,448,https://tow.whfb.app/unusual-formations/characters-joining-skirmishers,"Rulebook, p. 185","Characters may only join a unit of Skirmishers if they are of the same sub-category of troop type. For example, a character whose troop type is light cavalry could join a unit of Skirmishers that are also light cavalry, but could not join a unit of Skirmishers that are heavy cavalry. This is an exception to the normal rules for characters joining units."
Skirmishers & Charging,449,https://tow.whfb.app/unusual-formations/skirmishers-and-charging,"Rulebook, p. 186","A unit of Skirmishers may charge an enemy that is visible to at least one of its models when charges are declared. In which arc the enemy is charged is determined as normal.When a unit of Skirmishers charges, each model is moved individually, starting with the model closest to the charge target, as shown in Fig 186.1. Each model moves as directly as possible towards the charge target in order to make base contact with it and form a fighting rank. Models that cannot make base contact with the charge target must form up behind the fighting rank, as shown in Fig 186.2.Fig 186.1 - 1. The Skirmisher closest to the formed unit is moved into base contact.Fig 186.2 - 2. The remaining Skirmishers move. Seven can make base contact with the enemy, forming a fighting rank. The eighth model cannot make base contact with the enemy so forms up behind the fighting rank."
Formed Units Charging Skirmishers,450,https://tow.whfb.app/unusual-formations/formed-units-charging-skirmishers,"Rulebook, p. 186","When a formed unit of any type (be it Close Order, Open Order and so on) charges a unit of Skirmishers, it must endeavour to move as directly as possible into contact with the closest visible model in the target unit. As usual, the charging unit may wheel once, at any point, during its move, as shown in Fig 186.3.Once the charging unit has made contact with the target unit, it does not wheel to align. Instead, the Skirmishers must form up against the fighting rank of the charging unit, as shown in Fig 186.4 and Fig 186.5. However, no model in the charged unit can move further than its Movement characteristic. Any Skirmishers that cannot make base contact must instead form up behind the fighting rank.Fig 186.3 - 1. The formed unit is charging the unit of Skirmishers. It wheels and moves directly towards the closest model in the unit of Skirmishers.Fig 186.4 - 2. The formed unit completes its charge move.Fig 186.5 - 3. The Skirmishers form up against the charging unit. One of the Skirmishers cannot make base contact with the enemy, so forms up behind the fighting rank."
Skirmishers Charging Skirmishers,451,https://tow.whfb.app/unusual-formations/skirmishers-charging-skirmishers,"Rulebook, p. 187","When a unit of Skirmishers charges another unit of Skirmishers, each model is moved individually, starting with the model closest to the charge target (which must move by the shortest route possible to reach the charge target). Once the first model's move is complete, as shown in Fig 187.1, the remaining models in the charging unit are moved as directly as possible towards the charge target in order to form a fighting rank with the first model that moved, as shown in Fig 187.2, making sure that this model is as close to the centre of this rank as possible. Any models that do not have sufficient movement to form part of the fighting rank must form up behind it.Once the charging unit has completed its charge move, models in the target unit form up against the charging unit's fighting rank, as shown in Fig 187.3. However, no model in the charged unit can move further than its Movement characteristic. Any Skirmishers that cannot make base contact must instead form up behind the fighting rank.Fig 187.1 - 1. The Skirmisher closest to a model in the charged unit is moved into base contact with that model.Fig 187.2 - 2. The rest of the models in the charging unit are moved forward and form up around the first model moved. However, three of these models do not have sufficient movement to join the fighting rank so must form up behind it.Fig 187.3 - 3. Finally, the models in the charged unit are formed up against the charging unit, making sure that none of them move further than their Movement characteristic."
Troop Types in Detail,452,https://tow.whfb.app/troop-types-in-detail,"Rulebook, p. 188","All models have a troop type. These, along with the type of formation units of such models adopt, determine how they function throughout the rules. Troop types were explained in brief. The following sections cover them in greater detail and present any additional rules that may apply, as well as providing more in-depth descriptions of what they represent."
Categories of Troop Type,453,https://tow.whfb.app/troop-types-in-detail/categories-of-troop-type,"Rulebook, p. 188","There are five main categories of troop type, each of which is further divided into sub-categories. For example, particularly large infantry fall into the monstrous infantry sub-category of infantry. In such cases, when the rules refer to infantry models or units, monstrous infantry must also follow those rules unless an exception is stated for monstrous infantry.A model's troop type also determines the minimum number of such models a rank must contain to claim a Rank Bonus, the maximum Rank Bonus a unit of such models is able to claim, and the Unit Strength of such a model, as shown in the sections that follow.In most cases it will be fairly obvious which main category of troop type a model falls into. Sub-categories are more complex and exist to help better understand the exact role of a unit in battle and to better reflect this in games through the use of different rules."
Characters (Troop Types),454,https://tow.whfb.app/troop-types-in-detail/characters-troop-types,"Rulebook, p. 188","Some models will have the word 'Character' in brackets after their troop type, indicating that the model is a character. This section does not cover characters in detail. Instead, and because characters are such a powerful and important part of Warhammer: the Old World, they have a section all to themselves.."
Troop Type Tables,455,https://tow.whfb.app/troop-types-in-detail/troop-type-tables,"Rulebook, p. 189","Each of the following categories is accompanied by a table containing a summary of the important information needed for that troop type:Models Per RankThis is the minimum number required to claim a Rank Bonus. Ranks can contain more models or fewer models, as you wish, but in order for a rank to count towards Rank Bonus, it must contain at least this many models.Maximum Rank BonusThis is the maximum Rank Bonus a unit can claim. In some cases this can be increased by special rules and other effects.Unit StrengthSometimes, you may be required to work out the 'Unit Strength' of a unit. There are a number of reasons you might need to know this, for example, to determine if one of your units is outnumbered by an enemy, and if they are, by how much. Simply counting the number of models does not account for the sheer power and destructive ability of large and ferocious creatures. Unit Strength represents this well.To determine Unit Strength, simply count the number of models currently in the unit and multiply this by the Unit Strength per model as shown on the Troop Type table."
Infantry,456,https://tow.whfb.app/troop-types-in-detail/infantry,"Rulebook, p. 190","Infantry includes all units of foot troops and forms the backbone of most armies. Infantry is split into four sub-categories, some of which are subject to their own rules:Regular InfantryHeavy InfantryMonstrous InfantrySwarms"
Regular Infantry,457,https://tow.whfb.app/troop-types-in-detail/regular-infantry,"Rulebook, p. 190","This sub-category covers all the roughly human-sized warriors of the Warhammer world, be they Men, Elves, Dwarfs, Orcs, Zombies and so on. Regular infantry will normally form the core of your Warhammer army, the troops upon which you rely to get the job done. Regular infantry can be expected to adopt almost any formation to fulfil any role.Due to their ubiquity, the basic rules of Warhammer: the Old World are written around regular infantry, so no additional rules apply to this troop type.Troop TypeModels per RankMaximum Rank BonusUnit Strength per ModelSpecial RulesRegular Infantry5+21-"
Heavy Infantry,458,https://tow.whfb.app/troop-types-in-detail/heavy-infantry,"Rulebook, p. 190","This sub-category covers the many warriors that are larger than the average man, but not monstrously large, and the heavily armed or armoured elites that the rank and file aspire towards and that generals turn to as bodyguards and more. Close Order formations of heavy infantry can usually be found where the fighting is thickest.Troop TypeModels per RankMaximum Rank BonusUnit Strength per ModelSpecial RulesHeavy Infantry4+21Steady in the Ranks"
Steady in the Ranks,459,https://tow.whfb.app/troop-types-in-detail/steady-in-the-ranks,"Rulebook, p. 190","Due to their solid stature, heavy armour and often elite nature, heavy infantry are rarely concerned by inferior numbers. To represent this, a unit of heavy infantry arrayed in either Close Order or Open Order formation does not become Disrupted when engaged in its flank or rear unless the enemy unit has a Unit Strength of ten or more."
Monstrous Infantry,460,https://tow.whfb.app/troop-types-in-detail/monstrous-infantry,"Rulebook, p. 191","The monstrous infantry sub-category covers things like Trolls, Ogres and Minotaurs – creatures that are (roughly) man-shaped and fight on foot, but that are two or three times the size of regular or heavy infantry. Monstrous creatures vary wildly, from Ogres who fight as mercenaries all across the Old World, to Trolls, who shamble to war in search of food and fight together in irregular formations.Troop TypeModels per RankMaximum Rank BonusUnit Strength per ModelSpecial RulesMonstrous Infantry3+23Clumsy"
Clumsy,461,https://tow.whfb.app/troop-types-in-detail/clumsy,"Rulebook, p. 191",A unit with this rule can only be joined by a character that also has this rule. Smaller characters are unwilling to risk being trampled.
Swarms,462,https://tow.whfb.app/troop-types-in-detail/swarms,"Rulebook, p. 191","Swarms are seething masses of small creatures, such as rats, snakes or insects, summoned to the battlefield by magical means or herded there by beast masters and handlers to be set loose upon the enemy. Individually, the critters in a swarm pose little threat, but their sheer weight of numbers more than compensates for their size. Swarms are made of a number of bases. Each base includes many creatures, but counts as a single model.Troop TypeModels per RankMaximum Rank BonusUnit Strength per ModelSpecial RulesSwarms--3InsignificantNo One CaresUndisciplined"
Insignificant,463,https://tow.whfb.app/troop-types-in-detail/insignificant,"Rulebook, p. 191","Swarms consist of small and insignificant creatures. As such, a line of sight can be drawn across a swarm as if it wasn't there. In addition, swarms are ignored when attempting to target enemy characters."
No One Cares,464,https://tow.whfb.app/troop-types-in-detail/no-one-cares,"Rulebook, p. 191","No one really cares about swarms. Swarms never cause Panic in friendly units, regardless of what happens to them."
Undisciplined,465,https://tow.whfb.app/troop-types-in-detail/undisciplined,"Rulebook, p. 191 & 193","A unit with this rule cannot use the Inspiring Presence rule of the army's General nor the ""Hold your Ground"" rule of a Battle Standard."
Cavalry,466,https://tow.whfb.app/troop-types-in-detail/cavalry,"Rulebook, p. 192",The term cavalry refers to any riders mounted on war beasts – commonly warhorses or similar creatures. It can also include war beasts on their own as packs of animals which will often function in a manner more similar to cavalry than infantry. Cavalry is split into four sub-categories:Light Cavalry Heavy Cavalry Monstrous Cavalry War Beasts
